ps_id,d_20180709,d_20180721,d_20180802,d_20180814,d_20180826,d_20180907,d_20180919,d_20181001,d_20181013,d_20181025,d_20181106,d_20181118,d_20181130,d_20181212,d_20181224,d_20190105,d_20190117,d_20190129
12388,0.0,-13.618957,-16.766735,-18.719133,-24.326315,-29.170866,-31.88703,-26.018824,-28.412996,-28.412996,-28.412996,-28.412996,-36.34837,-24.77091,-33.620907,-44.74908,-48.603603,-46.489433
12389,0.0,-13.41603,-16.557207,-18.669498,-24.239223,-29.24647,-31.651428,-25.56651,-27.840431,-27.840431,-27.840431,-27.840431,-35.67728,-24.09268,-33.114613,-44.367172,-48.262295,-45.82876
12390,0.0,-12.568966,-16.637066,-18.206217,-24.858597,-28.919943,-32.716785,-24.39282,-27.745277,-34.058086,-23.588665,-14.514178,-23.09815,-11.256864,-19.797186,-32.61503,-35.328007,-33.20416
12391,0.0,-12.685503,-16.760607,-18.463055,-25.079754,-29.10311,-32.969936,-24.896566,-28.128593,-34.3779,-23.840212,-15.062994,-23.582666,-11.915727,-20.217287,-32.99942,-35.65706,-33.366302
12392,0.0,-12.696132,-16.840553,-18.636295,-25.164412,-29.207735,-33.015244,-25.274153,-28.342646,-34.483234,-23.88869,-15.36037,-23.920298,-12.5632515,-20.7776,-33.35743,-36.171936,-33.658363
12393,0.0,-12.572448,-17.016844,-18.917322,-25.341051,-29.43569,-32.518997,-25.400463,-28.143488,-34.011013,-23.480885,-15.315023,-23.651915,-12.780058,-21.324402,-32.97195,-36.4244,-33.812252
12394,0.0,-12.546507,-17.087141,-18.959898,-25.384186,-29.628763,-32.319412,-25.056442,-27.808088,-33.649513,-23.205736,-15.05244,-23.048601,-12.450881,-21.286,-32.531605,-36.267044,-33.50812
12395,0.0,-12.656384,-17.21229,-19.06004,-25.4815,-30.115324,-32.404594,-24.875626,-27.748188,-33.60199,-23.185907,-14.759102,-22.607826,-11.997477,-20.959187,-32.20111,-35.975964,-32.718147
12396,0.0,-12.928684,-17.468351,-19.362906,-25.730783,-30.79444,-32.753593,-25.03409,-28.039024,-33.67802,-23.452719,-14.268559,-22.268652,-11.419549,-20.425383,-31.72129,-35.560024,-31.644674
12397,0.0,-13.1644745,-17.677216,-19.736012,-26.099808,-31.226921,-32.99702,-25.479677,-28.527115,-28.527115,-28.527115,-28.527115,-36.75157,-25.55227,-34.514484,-45.9396,-50.090576,-45.93384
12398,0.0,-13.277539,-17.678923,-20.02673,-26.448229,-31.306337,-33.074165,-25.886673,-28.946714,-28.946714,-28.946714,-28.946714,-37.239613,-25.742193,-34.67176,-46.244015,-50.822655,-46.761467
