ps_id,lon,lat,x_radar,y_radar,iy,ix,velocity_mm_yr,rmse_mm,psf,corr_median,valid_pair_count,first_date,last_date,displacement_first_mm,displacement_last_mm,displacement_delta_mm,corr_mean
30,-44.064069884737904,-20.066714270077405,18539.5,1239.5,35,916,-5.1337075,0.05749266,0.9306109,0.8463609,28,2018-07-09,2019-01-29,0.0,-9.777514,-9.777514,0.79062593
31,-44.071306018623595,-20.06500845770985,18814.5,1239.5,35,1191,-38.855156,0.13896696,1.1604028,0.47808206,18,2018-07-09,2019-01-29,0.0,-19.185806,-19.185806,0.4871427
32,-44.074763282591206,-20.06408994335809,18911.5,1239.5,35,1288,-19.308453,0.040419977,0.91263366,0.91552514,27,2018-07-09,2019-01-29,0.0,-8.618837,-8.618837,0.83736736
33,-44.07513312943425,-20.06408994335809,18919.5,1239.5,35,1296,53.770287,0.041671447,1.0139074,0.8859608,25,2018-07-09,2019-01-29,0.0,18.444773,18.444773,0.79803497
34,-44.070292959879595,-20.065402106717748,18778.5,1240.5,36,1155,25.273813,0.11065822,0.94527185,0.49597257,19,2018-07-09,2019-01-29,0.0,5.2210407,5.2210407,0.49186304
35,-44.074940165863964,-20.064221159694057,18915.5,1240.5,36,1292,-33.656734,0.049121473,0.90517944,0.75796735,28,2018-07-09,2019-01-29,0.0,-11.698543,-11.698543,0.75637203
36,-44.0751652900293,-20.064221159694057,18920.5,1240.5,36,1297,-89.62113,0.081545785,0.93952274,0.7975215,27,2018-07-09,2019-01-29,0.0,-55.024723,-55.024723,0.7767517
37,,,18485.5,1241.5,37,862,15.329996,0.0699041,0.9041897,0.6586232,25,2018-07-09,2019-01-29,0.0,-0.08308745,-0.08308745,0.6486377
38,-44.063265869861716,-20.067239135421268,18513.5,1241.5,37,890,-28.843273,0.0052979738,1.2919152,1.0,28,2018-07-09,2019-01-29,0.0,-13.301629,-13.301629,0.9896588
39,-44.063298030456764,-20.067239135421268,18514.5,1241.5,37,891,-28.798882,0.008872206,1.0206681,1.0,28,2018-07-09,2019-01-29,0.0,-13.537869,-13.537869,0.98619944
40,-44.063683957597334,-20.067107919085302,18523.5,1241.5,37,900,-6.8943424,0.037831075,1.0510448,1.0,28,2018-07-09,2019-01-29,0.0,-6.3809457,-6.3809457,0.9129602
41,-44.065227666159615,-20.066714270077405,18580.5,1241.5,37,957,5.8591123,0.15594277,0.9007716,0.47723353,18,2018-07-09,2019-01-29,0.0,3.1760645,3.1760645,0.49986118
42,-44.06583871746552,-20.06658305374144,18605.5,1241.5,37,982,-1.6994547,0.10830595,1.0835288,0.58999157,21,2018-07-09,2019-01-29,0.0,7.4056416,7.4056416,0.57647735
43,-44.073509019384346,-20.06474602503792,18875.5,1241.5,37,1252,-23.427803,0.11008518,0.9167137,0.5374223,19,2018-07-09,2019-01-29,0.0,-17.990435,-17.990435,0.49099594
44,-44.07497232645901,-20.064352376030023,18916.5,1241.5,37,1293,56.859516,0.11621202,1.15699,0.742684,27,2018-07-09,2019-01-29,0.0,32.165257,32.165257,0.71224177
45,,,18514.5,1242.5,38,891,-41.858868,0.04967489,0.9164316,0.92145103,28,2018-07-09,2019-01-29,0.0,-20.825857,-20.825857,0.8708034
46,-44.06940854351579,-20.065795755725645,18743.5,1242.5,38,1120,8.551101,0.10358103,0.90469575,0.5352457,23,2018-07-09,2019-01-29,0.0,4.7670565,4.7670565,0.5449389
47,-44.075197450624344,-20.06448359236599,18922.5,1242.5,38,1299,26.637688,0.07486701,0.9586484,0.77075326,25,2018-07-09,2019-01-29,0.0,14.106721,14.106721,0.74391776
48,-44.07709492573215,-20.063958727022126,18973.5,1242.5,38,1350,-13.995042,0.028894825,1.028365,0.7173677,26,2018-07-09,2019-01-29,0.0,-3.1543639,-3.1543639,0.68407774
49,,,18551.5,1243.5,39,928,-25.705454,0.077271596,0.9013667,0.6074483,22,2018-07-09,2019-01-29,0.0,-14.5878,-14.5878,0.564078
50,-44.06538846913485,-20.066976702749336,18580.5,1243.5,39,957,-107.89969,0.16950387,0.9726463,0.48664457,18,2018-07-09,2019-01-29,0.0,-53.72476,-53.72476,0.47441167
51,-44.063298030456764,-20.067632784429165,18510.5,1244.5,40,887,136.68831,0.124209344,1.2006222,0.5197341,20,2018-07-09,2019-01-29,0.0,64.59729,64.59729,0.5525754
52,-44.063683957597334,-20.0675015680932,18520.5,1244.5,40,897,-7.821653,0.095439754,0.9850022,0.8657769,28,2018-07-09,2019-01-29,0.0,-5.018448,-5.018448,0.8127273
53,-44.06397340295276,-20.067370351757233,18527.5,1244.5,40,904,121.58936,0.07072666,0.93323886,0.81602633,27,2018-07-09,2019-01-29,0.0,68.83639,68.83639,0.78152
54,-44.06403772414286,-20.067370351757233,18529.5,1244.5,40,906,-40.312107,0.08310516,0.9173679,0.88693404,28,2018-07-09,2019-01-29,0.0,-17.729177,-17.729177,0.8544916
55,-44.06854020744951,-20.066320621069508,18704.5,1244.5,40,1081,17.61631,0.08346744,0.9810435,0.52258635,22,2018-07-09,2019-01-29,0.0,19.303196,19.303196,0.53922147
56,-44.07365374206206,-20.06500845770985,18876.5,1244.5,40,1253,27.633705,0.12492939,0.9111902,0.5966739,24,2018-07-09,2019-01-29,0.0,12.279408,12.279408,0.5756669
57,-44.07619442907082,-20.06448359236599,18945.5,1244.5,40,1322,-48.113335,0.026396077,1.0102843,0.894765,27,2018-07-09,2019-01-29,0.0,-27.035233,-27.035233,0.86868566
58,-44.07624266996339,-20.06448359236599,18946.5,1244.5,40,1323,-49.655903,0.033333223,0.91705126,0.8632139,26,2018-07-09,2019-01-29,0.0,-27.847334,-27.847334,0.8294614
59,-44.06374827878743,-20.067632784429165,18521.5,1245.5,41,898,61.875267,0.022327788,0.9474967,1.0,28,2018-07-09,2019-01-29,0.0,43.5199,43.5199,0.9754276
60,-44.06379651968,-20.067632784429165,18522.5,1245.5,41,899,62.40531,0.02388932,1.0403374,1.0,28,2018-07-09,2019-01-29,0.0,44.01401,44.01401,0.9748029
61,-44.06403772414286,-20.0675015680932,18528.5,1245.5,41,905,-31.773264,0.029605133,0.94305104,0.8299861,28,2018-07-09,2019-01-29,0.0,-18.866554,-18.866554,0.8194199
62,-44.06744674721789,-20.066714270077405,18656.5,1245.5,41,1033,63.52555,0.08788528,1.0283654,0.7292325,26,2018-07-09,2019-01-29,0.0,46.111458,46.111458,0.6865345
63,-44.06902261637522,-20.066320621069508,18722.5,1245.5,41,1099,61.34343,0.14734441,0.95458144,0.5237584,17,2018-07-09,2019-01-29,0.0,14.958398,14.958398,0.5176418
64,-44.06905477697027,-20.066320621069508,18723.5,1245.5,41,1100,11.24998,0.11726751,0.9107121,0.45929167,15,2018-07-09,2019-01-29,0.0,-7.599754,-7.599754,0.49939498
65,-44.07539041419463,-20.06474602503792,18928.5,1245.5,41,1305,16.80842,0.11087063,0.9505608,0.63430405,22,2018-07-09,2019-01-29,0.0,2.9372547,2.9372547,0.56311655
